Bear	Con gấu
Sea	Biển
Sky	Bầu trời
Valley	Thung lũng
Volcano	Núi lửa
Waterfall	thác nước
Well	Giếng nước
Wild	Hoang dã
Air	Không khí
Bright	Nắng sáng, tươi sáng
Chilly	Lạnh lẽo
Alternative	lựa chọn thay thế (danh từ đếm được)
Canyon	hẻm núi.
Clear	Trong xanh, không có mây
Cliff	vách đá
Climate	Khí hậu
Cold	Lạnh
Cool	Mát mẻ, mát trời
Deforestation	ô nhiễm không khí
Drought	Khô hạn, hạn hạn
Dry	Khô ráo, khô hanh
Energy	Năng lượng
Fine	Đẹp trời
Forecast	Dự báo (thời tiết)
Forest	rừng.
Freezing	Rét run, lạnh cóng
Greenhouse	Nhà kính
Hot	Nóng
Hurricane	Bão nhiệt đới
Plastic	Nhựa, chất dẻo
Preserve	Bảo tồn, giữ gìn
Rainy	Có mưa
Resource	Tài nguyên, nguồn lực
Snowy	Có tuyết
Sunny	Trời có nắng
Tidal	Sóng thần
Typhoon	Bão nhiệt đới – Tên gọi khi xảy ra tại Tây Bắc Thái Bình Dương
Warm	Ấm áp
Waste	Rác thải
Black	Màu đen
Blue	Màu xanh dương
Bright	màu xanh lá cây tươi
Bright	màu đỏ sáng
Brown	Màu nâu
Color	Màu sắc
Colorful	Rực rỡ, nhiều màu sắc
Dark	Tối (màu)
Dark	màu xanh lá cây đậm
Gold	Màu vàng óng
Green	Màu xanh lá
Grey	Màu xám
Light	màu xanh da trời nhạt
Light	màu nâu nhạt
Light	màu xanh lá cây nhạt
Light	Sáng (màu)
Orange	Màu cam
Paint	Sơn, màu vẽ
Pink	Màu hồng
Purple	Màu tím
Red	Màu đỏ
Shade	Sắc độ
White	Màu trắng
Yellow	Màu vàng
A	tóc cắt ngang trán
A	người có mái tóc ngắn
Angular	mặt xương xương
baby	 em bé, trẻ con
Bald	hói
Beard	râu
Beautiful	đẹp, xinh đẹp
Birthmark	vết bớt
Blonde	tóc vàng
Bloodshot	mắt đỏ ngầu
Body	thân hình, vóc dáng cơ thể
Broad	mũi rộng
Charming	thu hút, quyến rũ
Chubby	phúng phính
Curly	tóc xoăn
Cute	dễ thương, đáng yêu
Dark	da đen
Dreamy	đôi mắt mộng mơ
Dull	mắt lờ đờ
Dyed	tóc nhuộm
Fat	béo, thừa cân
Feature	đặc điểm
Fit	cân đối, gọn gàng
Flashing	mắt sáng
Flat	mũi tẹt
Frail	yếu đuối, mỏng manh
Fresh	khuôn mặt tươi tắn
Frizzy	tóc uốn thành búp
Frown	nhăn mặt
Ginger	đỏ hoe
Good-looking	sáng sủa, ưa nhìn
Greasy	da nhờn
Grimace	nhăn nhó
Grin	cười nhăn răng
Handsome	đẹp trai
Heart-shaped	khuôn mặt hình trái tim
Height	chiều cao
High	gò má cao
High	trán cao
Hooked	mũi khoằm
Inquisitive	ánh mắt tò mò
Lank	tóc thẳng và rủ xuống
Laugh	cười to
Long	khuôn mặt dài
Look	vẻ bề ngoài
Lovely	đáng yêu
Medium-height	chiều cao trung bình
Middle-aged	trung niên
Mole	nốt ruồi
Moustache	ria mép
Mousy	màu xám lông chuột
Muscular	cơ bắp, lực lưỡng
Muscular	nhiều cơ bắp
Neat	tóc chải chuốt cẩn thận
Obese	béo phì
Of	chiều cao trung bình
Of	hình thể trung bình
Old	già
Old	tuổi nghỉ hư
Olive-skinned	da nâu, vàng nhạt
Oriental	da vàng châu á
Oval	khuôn mặt hình trái xoan
Overweight	quá cân
Pale	xanh xao, nhợt nhạt
Pasty	xanh xao
Plump	tròn trĩnh
Pony-tail	cột tóc đuôi ngựa
Pout	bĩu môi
Pretty	xinh xắn
Rosy	hồng hào
Round	khuôn mặt tròn
Sallow	vàng vọt
Scar	sẹo
Scowl	cau có
senior	người cao tuổi
Short	lùn
Shortish	hơi lùn
Skinny	ốm, gầy
Slender	mảnh khảnh
Slim	gầy, mảnh khảnh
Smile	cười mỉm
Snub	mũi hếch
Sparkling	mắt lấp lánh
Square	mặt vuông
Stocky	chắc nịch
Stout	hơi béo
Straight	mũi thẳng
Straight	tóc thẳng
Sulk	phiền muộn
Tall	cao
Tallish	cao dong dỏng
Thin	gầy
Thin	khuôn mặt gầy
toddler	trẻ em ở độ tuổi mới biết đi
Turned	mũi cao
Ugly	xấu xí
Untidy	không chải chuốt, rối xù
Wavy	tóc lượn sóng
Weight	cân nặng
Well-built	hình thể đẹp
Well-proportioned	cân đối
With	tóc được tết, bện
Young	trẻ, trẻ tuổi
Arm	Cánh tay
Back	Lưng
Belly	Bụng
Body	Bộ phận cơ thể
Bone	Xương
Bottom	Mông
Brain	Não
Chest	Ngực, lồng ngực
Ear	Tai
Eyes	Mắt
Face	Khuôn mặt
Finger	Ngón tay
Hair	Tóc, mái tóc
Head	Đầu
Heart	Trái tim
Hip	Hông
Kidney	Thận
Leg	Chân
Lip	Môi
Liver	Gan
Lung	Phổi
Mouth	Miệng
Nose	Mũi
Skin	Làn da
Stomach	Dạ dày
Tooth	Răng
Waist	Eo, vòng eo
Bend	uốn cong, cúi, gập
Carry	cầm, mang, vác
Catch	đỡ lấy, bắt lấy
Climb	leo, trèo
Comb	chải tóc
Crawl	bò, lê bước
Crouch	khúm núm, luồn cúi
Cry	khóc
Dance	nhảy múa, khiêu vũ
Dive	lặn
Drag	kéo
Drink	uống
Drop	đánh rơi
Eat	ăn
Fall	ngã
Flip	búng
Grab	bắt lấy, túm lấy
Hang	treo
Hit	đánh
Hold	cầm, nắm
Hop	nhảy lò cò
Hug	ôm
Jog	chạy bộ
Jump	nhảy
Kick	đá
Lean	dựa, tựa
Lick	liếm
Lie	nằm
Lift	nâng lên
Pack	bó, gói
Paint	sơn, quét sơn
Pick	hái, nhổ, cuốc, xỉa, mở, cạy
Pick	nhặt lên
Plant	gieo, trồng
Play	chơi, nô đùa, đùa giỡn
Point	chỉ, trỏ, nhắm, chĩa
Pour	rót, đổ, giội, trút
Pull	lôi, kéo, giật
Punch	đấ
Push	xô, đẩy
Put	mặc, đeo, đội
Rake	cào
Read	đọc
Ride	cưỡi, lái
Row	chèo thuyền
Run	chạy
Sail	điều khiển, lái (thuyền)
Scrub	lau chùi, cọ rửa
See	thấy, trông thấy, nhìn thấy; xem, quan sát, xem xét
Set	bố trí, để, đặt, bày (bàn ăn)
Sew	may, khâu
Shake	rung, lắc, run rẩy
Shout	la hét, hò hét, reo hò
Show	cho xem, cho thấy, trưng bày, đưa cho xem; tỏ ra
Sing	hát
Sit	ngồi
Skate	trượt (băng, ván)
Slap	tát
Sleep	ngủ
Slice	cắt, thái
Slip	trượt ngã
Smile	cười
Sneeze	hắt hơi
Spin	quay
Squat	ngồi xổm
Stand	đứng
Step	bước đi
Stop	ngừng, nghỉ, thôi
Stretch	duỗi ra, căng ra
Stroke	vuốt ve
Sweep	quét
Swim	bơi
Swing	đung đưa, lúc lắc
Take	cầm, nắm, lấy
Talk	nói chuyện, chuyện trò
Throw	ném
Walk	đi bộ
Wash	gội, rửa
Wave	vẫy tay
Yawn	ngáp
Cheerful	Vui tươi, sôi nổi
Easy-going	Thoải mái
Energetic	Tràn đầy năng lượng
Funny	Vui tính, hài hước
Generous	Hào phóng
Grumpy	Cáu kỉnh, khó chịu
Love	yêu
Nice	Tốt, tử tế
Adorable	đáng yêu, đáng quý mến
Affectionate	thân mật, trìu mến
Afraid	Lo sợ
Aggressive	+ hay gây sự, hung hăng, hùng hổ
Agreeable	dễ chịu, dễ thương, vui lòng, sẵn sàng, tán thành
Alert	cảnh giác, lanh lợi, tỉnh táo
Alluring	quyến rũ, lôi cuốn, cám dỗ; có duyên, làm say mê, làm xiêu lòng
Ambitious	tham vọng
Amused	thích thú, vui, buồn cười
Angry	giận dữ, tức giận, cáu
Angry	Tức giận, giận dữ
Arrogant	kiêu căng, kiêu ngạo, ngạo mạn
Artful	xảo quyệt, tinh ranh, ma mãnh, lắm mưu mẹo
Ashamed	xấu hổ, hổ thẹn, ngượng
Avaricious	hám lợi, tham lam
Awful	rất khó chịu, khó chịu vô cùng
Bored	Chán nản
Confused	Bối rối
Disappointed	Thất vọng
Disgusted	Kinh tởm
Easy-going	dễ tính
Embarrassed	Xấu hổ, ngại ngùng
Energetic	đầy nghị lực, mạnh mẽ, mãnh liệt, đầy năng lượng
Entertaining	thú vị, làm vui lòng và vừa ý.
Enthusiastic	hăng hái, say mê, nhiệt tình
Envious	thèm muốn, ghen tị, đố kỵ
Erratic	thất thường, được chăng hay chớ
Excitable	dễ bị kích thích, dễ bị xúc động
Excited	Hào hứng, hứng thú
Excited	sôi nổi, hào hứng, bị kích thích, bị kích động
Explosive	dễ bị bùng nổ, dễ bị kích động
Extroverted	hướng ngoại
Exuberant	cởi mở, hồ hởi, đầy sức sống, đầy năng lượng
Fabulous	tuyệt vời
Fair	công bằng, ngay thẳng, không gian lận, hợp ý, đúng, phải
Faithful	trung thành, chung thủy, có lương tâm, trung thực
Fantastic	tuyệt vời
Fawning	xu nịnh, bợ đỡ, nịnh hót
Fear	Nỗi sợ
Fearless	chẳng sợ điều gì, can đảm
Fickle	hay thay đổi, không kiên định, không chung thủy
Fine	tốt, khỏe, giỏi
Frank	ngay thẳng, thẳng thắn, bộc trực
Freakish	đồng bóng, hay thay đổi, quái đản, kỳ cục
Friendly	thân thiện, thân mật, thân thiết, giao hữu
Funny	buồn cười, khôi hài, ngồ ngộ
Furious	giận dữ, điên tiết
Fussy	hay om sòm, hay quan trong hóa, hay nhắng nhít
Guilty	Thấy tội lỗi
Happy	Vui vẻ
Huffish	cáu kỉnh, dễ phát khùng, hay giận dỗi, dễ nổi cáu
Hungry	Đói
Lonely	Cô đơn
Nervous	Lo lắng
Sad	Buồn bã
Sick	Ốm yếu
Surprised	Ngạc nhiên
Thirsty	Khát
Tired	Mệt mỏi
Worried	Lo lắng
Aunt	Người dì
Birth	Sự sinh ra, sự chào đời
Brother	Anh/em trai
Brother-in-law	anh/em rể
Close	Gần gũi, gắn bó
Cousin	Anh chị em họ
Daughter	Con gái
Daughter-in-law	con dâu
Divorce	Li hôn, li dị
Ex-wife	Vợ cũ
Father	Cha/Bố
Father-in-law	bố chồng/bố vợ
Goddaughter	con gái đỡ đầu
Godfather	bố đỡ đầu
Godmother	mẹ đỡ đầu
Godson	con trai đỡ đầu
Grandparents	Ông bà
Half-brother	anh em cùng cha khác mẹ/cùng mẹ khác cha
Half-sister	chị em cùng cha khác mẹ/cùng mẹ khác cha
Husband	Người chồng
Kid	Con cái
Marry	Cưới
Mother	Mẹ
Mother-in-law	Mẹ chồng
Mother-in-law	mẹ chồng/mẹ vợ
Niece	Cháu trai/Cháu gái (con của anh/chị/em)
Parents	Cha mẹ, phụ huynh
Pregnant	Mang thai
Relative	Họ hàng
Sibling	Anh chị em
Sister	Chị em gái
Sister-in-law	chị/em dâu
Son	Con trai
Son-in-law	con rể
Stepbrother	con trai của bố dượng/mẹ kế
Stepdaughter	con gái riêng của chồng/vợ
Stepfather	bố dượng
Step-mom	Mẹ kế, dì ghẻ
Stepmother	mẹ kế
Stepsister	con gái của bố dượng/mẹ kế
Stepson	con trai riêng của chồng/vợ
Uncle	Người chú/cậu/bác
Wife	Người vợ
A	một nhóm bạn
Acquaintance	Người quen
Acquaintance	người quen
Argue	Tranh cãi, tranh luận
Boss	Sếp, cấp trên
Boyfriend	Bạn trai/Bạn gái
Break	Chia tay
Classmate	bạn cùng lớp
Colleague	Đồng nghiệp
Companion	bạn đồng hành
Conflict	Bất đồng, xung đột
Couple	Cặp đôi
Customer	Khách hàng
Date	Cuộc hẹn hò, Hẹn hò
Emulate	cạnh tranh với ai đó
Enemy	Kẻ thù
Friend	Bạn bè
Friendship	Tình bạn
Good	bạn tốt
Hate	Ghét bỏ, căm ghé
Interact	tương tác
Introduce	Giới thiệu
Love	Tình yêu
Meet	Gặp gỡ, gặp mặt
Nemesis	báo ứng
On-off	bạn bình thường
Rival	đối thủ
Schoolmate	bạn cùng trường
Soul	bạn tri kỷ
Account	thiết lập tài khoản
Activity	lịch sử đăng nhập
Archive	lưu trữ
Cover	ảnh bìa
Event	sự kiện
Facebook	người dùng Facebook
Friend	lời mời kết bạn
Group	hội, nhóm
Hide	ẩn
Information	thông tin
Message	tin nhắn
Notification	thông báo
Offline	ngoại tuyến
Online	trực tuyến
Page	fanpage
Photos	hình ảnh
Privacy	thiết lập cá nhân
Profile	ảnh đại diện
Profile	hồ sơ người dùng
Rate	đánh giá
React	phản ứng
Recent	gần đây
Review	nhận xét
Social	mạng xã hội
Status	trạng thái
Timeline	thời gian biểu cho tài khoản Facebook cá nhân
Video	video
Add	thêm bạn bè
Block	chặn
Comment	bình luận, lời bình luận
Communicate	giao tiếp với
Confirm	xác nhận
Create	tạo (fanpage, nhóm, post)
Delete	xóa
Find	tìm bạn
Follow	theo dõi
Interact	tương tác với
Join	Tham gia một nhóm
Keep	giữ liên lạc với
Like	thích
Log	đăng nhập
Log	đăng xuất
Post	đăng (v), bài đăng (n)
Reply	trả lời, phản hồi
Report	báo cáo
Search	tìm kiếm
Share	chia sẻ
Spam	là những nội dung gây phiền toái
Stay	giữ liên lạc với
Tag	gắn thẻ
Unfriend	hủy kết bạn
Update	cập nhật
Upload	tải lên một hình ảnh
View	xem tất cả
Accessories	Phụ kiện
Anorak	áo khoác có mũ
Belt	Thắt lưng
Blouse	Áo sơ mi (phụ nữ)
Boot	Ủng, bốt
Boxer	quần đùi
Cardigan	áo len cài đằng trước
Coat	Áo khoác (độ dài qua thắt lưng)
Dress	Váy liền
Fit	Vừa vặn, phù hợp
Glasses	Mắt kính, cặp kính
Glove	Găng tay
Handbag	Túi xách
Jacket	Áo khoác (dài tới thắt lưng)
Jeans	Quần jean
Jumper	áo len
Knee	/ bốt cao gót
Pants	Quần dài (Anh Mỹ)
Pullover	áo len chui đầu
Pyjama	Quần áo ngủ, pijama
Scarf	Khăn quàng cổ
Shirt	Áo sơ mi
Shoes	Đôi giày
Short	Quần sooc
Size	Kích cỡ quần áo
Skirt	Chân váy
Sneaker	giày thể thao
Socks	Tất
Suit	Bộ com lê
Sweater	Áo Len
Sweater	áo len
Swimsuit	Đồ bơi
Tie	Cà vạt
Top	áo
Trousers	Quần dài (Anh Anh)
Armor	áo giáp
Armored	xe bọc thép
Arrow	mũi tên
Artillery	pháo kích
Axe	rìu
Bayonet	lưỡi lê
Biological	vũ khí sinh học
Bomb	bom
Bow	cung tên
Bullet	viên đạn
Canon	đại bác
Chain	dây xích
Crossbow	nỏ
Dart	phi tiêu
Explosive	chất nổ
Fighter	máy bay chiến đấu
Grenade	lựu đạn
Guided	tên lửa đạn đạo
Halberd	kích
Hammer	búa
Handcuffs	còng
Handgun	súng ngắn
Horse	mã tấu
Knife	dao
Lethal	vũ khí chết người
Machete	mác
Machine	súng liên thanh
Mass-destruction	vũ khí hủy diệt hàng loạt
Mine	mìn
Missile	tên lửa
Nuclear	bom hạt nhân
Nunchaku	côn nhị khúc
Pepper	bình xịt hơi cay
Poison	thuốc độc
Rake	cây đinh ba
Rifle	súng trường
Rod	gậy
Saber	đao
Scissors	kéo
Sickle	lưỡi liềm
Slingshot	ná
Spear	cây giáo
Surface	tên lửa đất đối không
Sword	cây kiếm
Taser	súng bắn điện
Torpedo	ngư lôi
Whip	roi da
Bake	Nướng bánh
Beef	Thịt bò
Beer	Bia
Bitte	Đắng
Boil	Luộc, đun sôi
Bread	Bánh mì
Chicken	Thịt gà
Coffee	Cà phê
Delicious	Ngon lành
Drink	Uống
Eat	Ăn
Fast	Đồ ăn nhanh
Fresh	Tươi sống, tươi ngon
Fruit	Trái cây
Fry	Chiên rán
Grill	Nướng
Herb	Thảo mộc
Juice	Nước ép
Liquor	Rượu mạnh
Meat	Thịt
Milk	Sữa
Pork	Thịt lợn
Rice	Cơm
Salty	Mặn
Sauce	Nước sốt
Seafood	Hải sản
Snack	Món ăn nhẹ
Soup	Món súp, món canh
Sour	Chua
Spice	Gia vị
Spicy	Cay
Steam	Hấp
Stir-	Xào
Sweet	Ngọt
Tasty	Ngon lành
Tea	Trà
Vegetable	Rau củ
Wine	Rượu vang
Antique	cửa hàng đồ cổ
Antique	Cửa hàng đồ cổ
Apartment	Căn hộ
Architecture	Kiến trúc
Baker	Hiệu bánh
Bakery	cửa hàng bánh ngọt
Barbers	Hiệu cắt tóc
Barbershop	hiệu cắt tóc nam
Beauty	tiệm làm đẹp
Beauty	Cửa hàng làm đẹp
Bedroom	Phòng ngủ
Big-box	cửa hàng tạp hóa (general store)
Book	câu lạc bộ sách 
Bookshop	hiệu sách
Bookstall	cửa hàng sách (quy mô rất nhỏ và bán nhiều loại tạp chí)
Booth	quán cóc, bốt điện thoại
Bottle	cửa hàng bán rượu bia
Boutique	cửa hàng nhỏ bán quần áo, giày dép, …
Bucket	đại lý vé máy bay giá rẻ, hoặc tổ chức dịch vụ du lịch giá r
Build	Xây dựng
Builders’	cửa hàng vật liệu xây dựng
Building	Tòa nhà cao tầng
Butcher	cửa hàng bán thịt
Butchers	Cửa hàng bán thịt
Café	quán cà phê
Cash-and-carry	cửa hàng bán buôn
Chain	chuỗi cửa hàng
Charity	cửa hàng bán đô từ thiện
Chemists	Cửa hàng thuốc
Chip	cửa hàng bán đồ ăn mang đi (thường là khoai tây chiên, cá chiên…)
Clothes	Cửa hàng quần áo
Commissary	cửa hàng của nhà nước phục vụ cho các đối tượng đặc biệt
Construct	Thi công, xây dựng
Convenience	cửa hàng tiện ích
Corner	cửa hàng nhỏ bán đồ ăn và những thứ lặt vặt
Corner	Cửa hàng góc phố (tạp hoá)
Delicatessen	cửa hàng bán đồ ăn ngon (thường nhập khẩu từ nước ngoài)
Department	trung tâm thương mại cao cấp
Dime	cửa hàng bán đồ rẻ tiền
Door	Cánh cửa
Dress	Cửa hàng quần áo
Dry	Cửa hàng giặt khô
Duty-free	cửa hàng bán đồ miễn thuế
Electrical	Cửa hàng đồ điện
Elevator	Thang máy
Filling	cửa hàng xăng dầu (petrol station)
Flea	 Chợ trời
Floor	(1) Tầng; (2) Sàn nhà
Flower	cửa hàng hoa
Garage	cửa hàng sửa chữa và bán xe ô t
Garden	nơi bán các loại hạt giống, cây trồng
Garden	Khu vườn
Gift	cửa hàng bán đồ lưu niệm
Greengrocers	Cửa hàng rau quả
Haberdashery	cửa hàng bán đồ kim chỉ, các dụng cụ may mặc
Hairdressers	Cửa hàng uốn tóc
Hardware	cửa hàng bán các vật dụng kim loại (ironmonger’s)
Hardware	Cửa hàng dụng cụ
House	Ngôi nhà
Hypermarket	siêu thị lớn (megastore)
Junk	cửa hàng bán đồ cũ
Kitchen	Phòng bếp
Laundry	cửa hàng giặt ủi
Liquor	quán bán rượu bia mang đi không phục vụ tại quán)
Living	Phòng khách
Market	Chợ
Newsagents	Quầy bán quần áo
Newsstand	sạp báo (paper shop)
Optician	Hiệu kính mắt
Outfitter	quầy bán đồ dã ngoại (quần áo, trại…)
Perfumery	cửa hàng bán nước hoa
Pharmacy	hiệu thuốc
Rapery	cửa hàng đồ may mặc
Real	Bất động sản
Roof	Mái nhà
Service	cửa hàng bán đồ phụ tùng
Service	cửa hàng bán xăng, dầu
Shoe	Cửa hàng sửa chữa giầy dép
Shoe	Cửa hàng giầy
Skyscraper	Nhà chọc trời
Sports	 Cửa hàng đồ thể thao
Stair	Cầu thang
Stationers	Cửa hàng văn phòng phẩm
Stationery	cửa hàng văn phòng phẩm
Supermarket	siêu thị
Sweet	cửa hàng bánh kẹo
Tailors	Hàng may
Tattoo	Hàng xăm
Tea	Quán trà
Tower	Tòa tháp
Toy	Cửa hàng đồ chơi
Villa	Biệt thự
Yard	Sân
Air	Điều hòa
Armchair	Ghế có chỗ hai bên để tay
Bariermatting	Thảm chùi chân ở cửa
Bath	Bồn tắm
Bed	Giường thông thường
Bedside	Bàn bên cạnh giường
Bench	Ghế dài, ghế ngồi ở nghị viện, quan tòa
Bookcase	Tủ sách
Carpet	Thảm thông thường
Chair	Ghế thông thường
Chandelier	Đèn chùm, đèn treo nhiều ngọn
Chest	Tủ ngăn kéo
Chest	tủ, két
Closet	tủ âm tường
Coat	Móc treo quần áo
Coffee	Bàn uống nước, bàn cà phê
Couch	Ghế dài giống như giường, ghế trường kỷ
Curtain	Rèm, màn
Cushion	Đệm
Desk	Bàn thông thường
Double	Giường đôi
Dresser	Tủ thấp có nhiều ngăn kéo (Anh-Anh )
Dressing	Bàn trang điểm
Drinks	Tủ đựng giấy tờ công việc
Electric	Lò sưởi hoạt động bằng điện
Ensuite	Buồng tắm trong phòng ngủ
Fireplace	Lò sưởi
Fridge	Cái tủ lạnh
Gas	Lò sưởi hoạt động bằng ga
Heater	Bình nóng lạnh
Hoover	Máy hút bụi
Internet	Mạng Internet
Locker	tủ nhiều ngăn, có khóa mỗi ngăn
Ottoman	Ghế dài có đệm
Poster	Bức ảnh lớn trong nhà
Radiator	Tủ đựng bát đũa
Reading	Đèn học
Recliner	Ghế đệm thông minh,để thư giãn,có thể điều chỉnh phần gác chân
Rocking	ghế lật đật
Shower	Vòi hoa sen
Side	 Tủ ly
Side	Bàn để sát tường
Single	Giường đơn
Sink	bồn rửa
Sofa	Giường sofa
Sofa	Ghế tràng kỷ, ghế xô pha
Spin	Máy sấy quần áo
Standing	Đèn để bàn
Stool	Ghế đẩu
Television	Tivi
Wall	Đèn tường
Wardrobe	Tủ đựng quần áo
Window	rèm cửa sổ
Aerobics	thể dục thẩm mỹ/thể dục nhịp điệu
American	bóng bầu dục
Archery	bắn cung
Athlete	Vận động viên
Athletics	điền kinh
Badminton	cầu lông
Badminton	Môn cầu lông
Baseball	Bóng chày
Baseball	bóng chày
Basketball	bóng rổ
Basketball	Bóng rổ
Beach	bóng chuyền bãi biển
Beat	Đánh bại
